epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0318,3.30578,6.00411,2.98506,0,0,0,0,3.41379,6.2799,3.26628,0.0012,0.0012,0.0892
2,79.8569,3.1664,5.75432,2.82163,0,0,0,0,3.14179,6.03681,3.32141,0.0024175,0.0024175,0.0774175
3,120.996,3.19405,5.56916,2.85742,0,0,0,0,2.73546,5.76966,2.876,0.0035492,0.0035492,0.0655492
4,167.408,2.92763,5.50728,2.72998,0,0,0,0,3.01507,5.74794,2.85858,0.0045951,0.0045951,0.0535951
5,212.49,2.80879,5.45714,2.59939,0,0,0,0,2.79622,5.89578,2.6533,0.0055552,0.0055552,0.0415552
6,260.587,2.86277,5.37493,2.63859,0.00068,0.12222,0.00043,4e-05,3.37909,6.14132,2.95421,0.0064295,0.0064295,0.0294295
7,304.009,2.74276,5.41265,2.57062,0,0,0,0,2.99203,5.69719,2.90563,0.007218,0.007218,0.017218
8,344.727,2.80867,5.3092,2.58142,0,0,0,0,2.76971,5.46592,2.72312,0.00769,0.00769,0.00769
9,387.489,2.7121,5.18106,2.46576,0.00152,0.1963,0.00128,0.00045,2.81286,5.25952,2.70939,0.00736,0.00736,0.00736
10,443.269,2.81887,5.02798,2.50075,0.00024,0.05556,0.00019,4e-05,3.07237,5.67031,2.78884,0.00703,0.00703,0.00703
11,489.469,2.7753,5.00929,2.46752,0.00099,0.15926,0.00159,0.00029,3.30819,5.63622,2.89244,0.0067,0.0067,0.0067
12,531.958,2.72597,5.02696,2.35909,0.00158,0.39259,0.04028,0.00433,2.87662,6.29275,2.59606,0.00637,0.00637,0.00637
13,579.463,2.8551,5.0107,2.42326,0.00146,0.42222,0.02108,0.00439,3.03644,6.57123,2.73767,0.00604,0.00604,0.00604
14,627.591,2.70678,4.95391,2.2864,0.00219,0.48519,0.00492,0.00089,2.95649,5.917,2.61778,0.00571,0.00571,0.00571
15,668.775,2.82192,5.02225,2.29858,0.00221,0.58889,0.00924,0.0016,2.92375,5.90072,2.53806,0.00538,0.00538,0.00538
16,712.423,2.7413,4.75448,2.30053,0.00618,0.71111,0.00759,0.00218,2.65485,5.71533,2.31987,0.00505,0.00505,0.00505
17,754.109,2.73029,4.90105,2.32571,0.66832,0.2,0.00646,0.00157,2.78615,6.21091,2.32038,0.00472,0.00472,0.00472
18,798.473,2.58357,4.59567,2.21565,0.0025,0.57037,0.00393,0.00135,2.50233,5.58532,2.24544,0.00439,0.00439,0.00439
                      1,                 3.1423,                 5.6835,                 2.8378,                      0,                      0,                      0,                      0,                 2.8397,                 5.6982,                 2.6314,                 0.0704,              0.0032889,              0.0032889
                      2,                 2.7934,                 5.0781,                 2.5741,                      0,                      0,                      0,                      0,                 2.6582,                  5.273,                 2.5797,               0.040181,              0.0064037,              0.0064037
