                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0258,                 3.0791,                 1.5966,                0.00338,                      1,                0.07259,                 0.0375,                0.69376,                 3.5002,                0.96466,                  0.091,                  0.001,                  0.001
                      2,                0.50865,                 2.9414,                 1.2137,                0.00339,                      1,                 0.3135,                0.19153,                0.26111,                 3.3237,                0.46505,               0.081058,              0.0020584,              0.0020584
                      3,                0.25689,                 2.5805,                 1.0481,                0.00338,                      1,                 0.2962,                0.25882,                0.20437,                 3.1993,                0.37647,               0.071073,              0.0030733,              0.0030733
                      4,                0.22613,                 2.1751,                0.99641,                 0.0034,                      1,                0.43015,                0.42761,                0.18714,                 2.8286,                0.31731,               0.061045,              0.0040446,              0.0040446
                      5,                0.25618,                 1.8985,                0.97989,                0.00351,                      1,                0.42649,                0.42649,                0.32291,                 2.7294,                0.49231,               0.050972,              0.0049723,              0.0049723
                      6,                0.25371,                 1.8414,                0.94991,                 0.0034,                      1,                0.36758,                0.32883,                0.52944,                 3.0221,                0.72596,               0.040857,              0.0058565,              0.0058565
                      7,                 0.2436,                 1.7982,                0.94535,                 0.3358,                0.95833,                0.43859,                0.42063,                0.41027,                 2.3706,                0.64847,               0.030697,              0.0066971,              0.0066971
                      8,                 0.3299,                 1.7201,                0.97756,                0.31672,                0.95238,                0.42287,                0.39466,                0.31998,                 2.4473,                0.55468,               0.020494,              0.0074942,              0.0074942
                      9,                0.29019,                 1.7361,                0.98833,                0.31647,                      1,                0.40255,                0.38773,                0.33353,                 2.1773,                0.49049,               0.010248,              0.0082477,              0.0082477
                     10,                0.36217,                 1.7237,                0.99383,                0.37317,                0.87963,                0.42183,                0.38176,                0.54142,                 2.2915,                0.74452,               0.008218,               0.008218,               0.008218
                     11,                0.36412,                 1.7105,                0.99395,                0.31788,                0.86722,                 0.4419,                 0.4312,                0.33495,                 2.2572,                0.50474,               0.008218,               0.008218,               0.008218
                     12,                0.30208,                 1.7029,                0.99601,                0.34301,                0.83292,                0.41731,                0.36118,                0.32727,                 2.5601,                0.47105,                0.00802,                0.00802,                0.00802
                     13,                0.30021,                 1.6833,                0.97743,                0.38431,                0.87332,                0.50837,                0.48599,                0.38582,                 2.3723,                0.55973,               0.007822,               0.007822,               0.007822
                     14,                0.32708,                 1.6837,                0.98802,                0.39025,                0.81019,                0.49103,                0.45541,                 0.2799,                 2.3021,                0.40303,               0.007624,               0.007624,               0.007624
                     15,                0.32578,                 1.6349,                0.96679,                0.45554,                0.78535,                0.52766,                0.51576,                0.40061,                 2.4861,                 0.5618,               0.007426,               0.007426,               0.007426
                     16,                0.31122,                 1.5712,                0.95702,                0.34256,                0.91071,                0.50591,                0.49902,                   0.38,                 2.5283,                 0.5545,               0.007228,               0.007228,               0.007228
                     17,                0.32228,                 1.6289,                0.98607,                0.49676,                0.60223,                0.57459,                0.54824,                0.29152,                 2.2441,                0.39869,                0.00703,                0.00703,                0.00703
                     18,                0.26334,                 1.5594,                0.93352,                0.33891,                0.92913,                0.52073,                0.50056,                 0.2229,                 2.0485,                0.34582,               0.006832,               0.006832,               0.006832
                     19,                0.30169,                 1.5302,                0.96942,                0.38673,                0.72619,                 0.4937,                0.47983,                0.22875,                 2.0093,                0.33539,               0.006634,               0.006634,               0.006634
                     20,                0.26002,                 1.5153,                0.94661,                0.26914,                0.85714,                0.51022,                0.47387,                0.27396,                 2.0732,                0.37664,               0.006436,               0.006436,               0.006436
                     21,                0.26545,                 1.4877,                0.97457,                0.24915,                0.72024,                0.55522,                0.52047,                0.29394,                 2.0686,                 0.4342,               0.006238,               0.006238,               0.006238
                     22,                0.26219,                 1.4777,                0.95053,                0.26829,                0.72024,                0.43486,                  0.355,                0.49424,                   2.15,                 0.6717,                0.00604,                0.00604,                0.00604
                     23,                0.24416,                  1.461,                0.95127,                0.42849,                0.74491,                0.50907,                0.41111,                0.51349,                 2.1731,                0.74842,               0.005842,               0.005842,               0.005842
